Город;Регион;Федеральный округ;lat;lng
Абаза;Хакасия;Сибирский;52,651657;90,088572
Абакан;Хакасия;Сибирский;53,721152;91,442387
Абдулино;Оренбургская область;Приволжский;53,677839;53,647263
Абинск;Краснодарский край;Южный;44,866256;38,151163
Агидель;Башкортостан;Приволжский;55,899835;53,92204
Агрыз;Татарстан;Приволжский;56,526318;52,995266
Адыгейск;Адыгея;Южный;44,884856;39,190567
Азнакаево;Татарстан;Приволжский;54,859808;53,074533
Азов;Ростовская область;Южный;47,112442;39,423581
Ак-Довурак;Тыва;Сибирский;51,178493;90,598474
Аксай;Ростовская область;Южный;47,269804;39,862615
Алагир;Северная Осетия — Алания;Северо-Кавказский;43,041711;44,219875
Алапаевск;Свердловская область;Уральский;57,853038;61,702672
Алатырь;Чувашия;Приволжский;54,839816;46,572195
Алдан;Якутия;Дальневосточный;58,609451;125,381673
Алейск;Алтайский край;Сибирский;52,492167;82,779448
Александров;Владимирская область;Центральный;56,397774;38,727621
Александровск;Пермский край;Приволжский;59,162925;57,584669
Александровск-Сахалинский;Сахалинская область;Дальневосточный;50,894564;142,1594
Алексеевка;Белгородская область;Центральный;50,629961;38,688095
Алексин;Тульская область;Центральный;54,502429;37,066034
Алзамай;Иркутская область;Сибирский;55,555072;98,664357
Альметьевск;Татарстан;Приволжский;54,901383;52,297113
Амурск;Хабаровский край;Дальневосточный;50,226797;136,910607
Анадырь;Чукотский АО;Дальневосточный;64,733115;177,508924
Анапа;Краснодарский край;Южный;44,894965;37,31617
Ангарск;Иркутская область;Сибирский;52,544358;103,88824
Андреаполь;Тверская область;Центральный;56,65079;32,262023
Анжеро-Судженск;Кемеровская область;Сибирский;56,083175;86,018216
Анива;Сахалинская область;Дальневосточный;46,713168;142,526595
Апатиты;Мурманская область;Северо-Западный;67,568041;33,407115
Апрелевка;Московская область;Центральный;55,545166;37,07322
Апшеронск;Краснодарский край;Южный;44,468327;39,736707
Аргун;Чечня;Северо-Кавказский;56,694538;60,834315
Ардатов;Мордовия;Приволжский;54,84656;46,241183
