rus_name,latitude,longitude
Адыгейск,44.8783715,39.190172
Москва,55.7538789,37.6203735
Майкоп,44.6098268,40.1006527
Горно-Алтайск,51.9582681,85.9602957
Алейск,52.4920914,82.7794145
Барнаул,53.3481145,83.7798362
Белокуриха,51.9960534,84.9840343
Бийск,52.5393683,85.2138852
Горняк,50.9979032,81.4643059
Заринск,53.7063495,84.9314703
Змеиногорск,51.1580235,82.1872476
Камень-на-Оби,53.7915454,81.3545173
Новоалтайск,53.4120811,83.9311249
Рубцовск,51.5013075,81.2077729
Славгород,52.9993053,78.6459674
Яровое,52.9251728,78.5729898
Белогорск,50.9212235,128.4738742
Благовещенск,50.2905935,127.5272186
Завитинск,50.1064678,129.4392897
Зея,53.7339151,127.2658079
Райчихинск,49.7941882,129.4112149
Свободный,51.361264,128.1218995
Сковородино,53.9871004,123.943729
Тында,55.1546401,124.7468634
Циолковский,51.7624346,128.121972
Шимановск,52.0052856,127.7006559
Архангельск,64.5392985,40.5170083
Вельск,61.0660057,42.1032858
Каргополь,61.5008762,38.9636415
Коряжма,61.2885993,47.1002315
Котлас,61.2529842,46.6331915
Мезень,65.8398386,44.2531865
Мирный,62.7644267,40.3359976
Новодвинск,64.4136023,40.8208003
Няндома,61.6653735,40.2061699
Онега,63.9163966,38.0805749
Северодвинск,64.56253,39.8182715
Сольвычегодск,61.3318091,46.920351
Шенкурск,62.1057423,42.89959
Астрахань,46.3655808,48.0559979
Ахтубинск,48.2753078,46.1906741
Знаменск,48.5865618,45.7367908
Камызяк,46.1105429,48.0732724
Нариманов,46.6916597,47.8501624
Харабали,47.4089187,47.2524467
Агидель,55.89976,53.9221149
Баймак,52.5912632,58.3111995
Белебей,54.1033832,54.1111878
Белорецк,53.9675927,58.4099562
Бирск,55.4157107,55.5582335
Благовещенск,55.0499592,55.955309
Давлеканово,54.2227617,55.0313419
Дюртюли,55.4848047,54.8524875
Ишимбай,53.4546314,56.043874
Кумертау,52.7565537,55.7969915
Межгорье,54.239683,57.96146
Мелеуз,52.9590637,55.9283483
Нефтекамск,56.0883075,54.2483391
Октябрьский,54.4815344,53.4656611
Салават,53.3616311,55.9245559
Сибай,52.7205811,58.6663303
Стерлитамак,53.6302498,55.9315707
Туймазы,54.5999889,53.6949081
Уфа,54.734853,55.9578647
Учалы,54.3066965,59.4126559
Янаул,56.2650336,54.9298314
Алексеевка,50.6299932,38.6881776
Белгород,50.5977351,36.5858236
Бирюч,50.6483899,38.4006203
Валуйки,50.2112799,38.0998765
Грайворон,50.4862699,35.6662957
Губкин,51.2836362,37.5347608
Короча,50.8130123,37.1896543
Новый Оскол,50.7635162,37.8774026
Старый Оскол,51.2965991,37.8349849
Строитель,50.7845571,36.4886619
Шебекино,50.4005506,36.8877988
Брянск,53.2420071,34.3652716
Дятьково,53.5958283,34.355092
Жуковка,53.5341219,33.7302166
Злынка,52.4265906,31.7360386
Карачев,53.1297194,34.9887859
Клинцы,52.7529052,32.2339161
Мглин,53.0600644,32.8467217
Новозыбков,52.5371426,31.9356826
Почеп,52.9154724,33.4744608
Севск,52.1484215,34.4918198
Сельцо,53.3738801,34.1059226
Стародуб,52.5851881,32.7603628
Сураж,53.0171239,32.3938351
Трубчевск,52.5791314,33.7660013
Унеча,52.8460665,32.6757071
Фокино,53.4554552,34.4158537
Бабушкин,51.7113066,105.8673633
Гусиноозерск,51.2865751,106.5230732
Закаменск,50.3726774,103.2867452
Кяхта,50.3466291,106.4534938
Северобайкальск,55.6357165,109.3362606
Улан-Удэ,51.8334378,107.5841511
Александров,56.3919652,38.711035
Владимир,56.1281561,40.4082995
Вязники,56.2976528,42.2687311
Гороховец,56.2021059,42.692517
Гусь-Хрустальный,55.6198065,40.6578769
Камешково,56.3488712,40.9955682
Карабаново,56.3133447,38.7034267
Киржач,56.1485263,38.8635035
Ковров,56.3553895,41.3169568
Кольчугино,56.3327616,39.391201
Костерево,55.9336424,39.624822
Курлово,55.4525994,40.6124362
Лакинск,56.0180614,39.9564706
Меленки,55.3387017,41.634124
Муром,55.5632276,42.023006
Петушки,55.9297657,39.4507913
Покров,55.9167118,39.1733641
Радужный,55.9961034,40.3323247
Собинка,55.993798,40.0180034
Струнино,56.3750001,38.583938
Судогда,55.949897,40.8563392
Суздаль,56.4273814,40.4525581
Юрьев-Польский,56.4938067,39.6679311
Волгоград,48.7072005,44.5170207
Волжский,48.7978483,44.7462417
Дубовка,49.0555342,44.8270813
Жирновск,50.9767561,44.7857694
Калач-на-Дону,48.6887569,43.5306866
Камышин,50.0651261,45.3843816
Котельниково,47.6310808,43.1331198
Котово,50.3205433,44.8031864
Краснослободск,48.7068777,44.5631799
Ленинск,48.6936234,45.1992835
